,location,specific_location,features,bed,bath,toilet,description,price,category,property_code,date_posted/updated,service_level,key_features,detail_description
1306,surulere,off bode thomasBode Thomas Surulere Lagos,2 beds 2 baths Toilets,2,2,0,2 bedroom,1200000,,4CAYY,"Updated 20 Apr 2021, Added 20 Feb 2019",,"Security
Survey
Street Lights
Restaurants Nearby
Security doors
2 Bedrooms
Cheap
Renovated",cheap n very clean 2bedroom flat block of 4 flats
1307,surulere,Adeniran ogunsanya surulere lagos.Adeniran Ogunsanya Surulere Lagos,2 beds 2 baths 3 Toilets,2,2,3,Newly renovated 2bedrooms flat at adeniran ogunsanya surulere lagos.,1200000,,1DXJX,"Updated 20 Apr 2021, Added 04 Oct 2020",Furnished Serviced,,
1308,surulere,Off LawansonItire Surulere Lagos,2 beds 1 baths 1 Toilets,2,1,1,Renovated spacious 2bedroom upstairs,700000,,5DFPY,"Updated 20 Apr 2021, Added 07 May 2020",,,
1309,surulere,Surulere bode thomas annimashun.Bode Thomas Surulere Lagos,3 beds 3 baths 4 Toilets,3,3,4,3 Bedroom Flat,1500000,,4DWNL,"Updated 20 Apr 2021, Added 23 Sep 2020",Furnished Serviced Newly Built,,
1310,surulere,Baba Tunde close Kilo Marsha Surulere Lagos,3 beds 2 baths 3 Toilets,3,2,3,Newly renovated 3bedroom apartment in a lovely and serene neighborhood,1000000,,8EKYS,"Updated 20 Apr 2021, Added 15 Mar 2021",,3 Bedroom,"A newly renovated spacious 3bedroom flat with wardrobe , prepaid meter, (2 toilet & 2 bath), upstairs, etc in a secured and gated neighborhood
Price: 1 Million (1 year rent)
900k (2 years rent)"
1312,surulere,at olufemiMasha Surulere Lagos,3 beds 3 baths 3 Toilets,3,3,3,3 Bedroom flat for rent,1300000,,1CBBR,"Updated 20 Apr 2021, Added 22 Feb 2019",,"Security
Parking Space
3 Bedrooms
Cheap
Renovated",very clean 3 bedroom flat @ olufemi off masha
1314,surulere,Off agunlanaOgunlana Surulere Lagos,3 beds 3 baths 2 Toilets,3,3,2,A Block of 4 flat 3 bedroom new renovated house,1000000,,H0402,"Updated 20 Apr 2021, Added 25 Jul 2017",,,
1315,surulere,Surulere idi araba off ishsga road luth.Idi Araba Surulere Lagos,2 beds 2 baths 3 Toilets,2,2,3,2 bedroom flat,700000,,8DWNK,"Updated 20 Apr 2021, Added 23 Sep 2020",Furnished Newly Built,,
1316,surulere,Mercy eleni off adelabu marsha.Adelabu Surulere Lagos,beds baths Toilets,0,0,0,Executive 2bedrooms flat at mercy eleni off adelabu marsha.,1400000,,5DXJU,"Updated 20 Apr 2021, Added 04 Oct 2020",Furnished,,
1317,surulere,Off lawasonLawanson Surulere Lagos,1 beds 1 baths 1 Toilets,1,1,1,Mini flat,500000,,9CGET,"Updated 20 Apr 2021, Added 27 May 2019",Newly Built,,
