,location,specific_location,features,bed,bath,toilet,description,price,category,property_code,date_posted/updated,service_level,key_features,detail_description
9286,yaba,Fola Agoro Yaba Lagos,3 beds 3 baths 3 Toilets,3,3,3,"Very Clean Sharp Spacious Thoroughly Renovated 3bedroom Flat @ Fola Agoro, Yaba, Lagos, with 3toilets and bath, in a block of 6flats",1200000.0,,7CTYM,"Updated 15 Jan 2020, Added 12 Nov 2019",,"Security
Supermarket Nearby
Street Lights
Parking Space
Security doors
Big Compound
3 Bedrooms
Renovated","A Very Clean Sharp Spacious Thoroughly Renovated 3bedroom Flat @ Fola Agoro, Yaba, Lagos, with 3toilets and bath, in a block of 6flats, 2nd floor, front flat, fenced round with gate and parking space, with good electricity as well road accessibility to Herbert Macaulay way as well as Ikorodu Road, #1.2M x a year."
9288,yaba,Ebute Meta westEbute Metta Yaba Lagos,2 beds 2 baths 3 Toilets,2,2,3,2 bedroom apartment,850000.0,,1CRAZ,"Updated 15 Jan 2020, Added 28 Sep 2019",Newly Built,"All Room Ensuit
Drainage System
2 Bedrooms
New","2 bedroom all ensuite, with wardrobe, car park, 850k a year rent, a/c 100,170, caution fee 30k. Location: ebute meta west"
9290,yaba,YabaYaba Lagos,0 beds 0 baths 0 Toilets,0,0,0,JOINT VENTURE: 2400 SQMS IN A VERY GOOD LOCATION IN YABA,500000000.0,,9CJCB,"Updated 15 Jan 2020, Added 24 Jun 2019",,,"2400 SQMS IN A VERY GOOD LOCATION IN YABA
PROPOSAL: BLOCK OF FLATS
TITLE: LAND CERTFICATE
VALUE 500 MILLION.
SHARING FORMULA 50=50
FACILITATOR FEES - 5%"
9292,yaba,Sabo Yaba Lagos,beds baths Toilets,0,0,0,Ultra Modern Standard open office space in the heart of Yaba in a commercial complex 35k per sqm,28000000.0,,7CREH,"Updated 15 Jan 2020, Added 01 Oct 2019",Serviced,,
9293,yaba,Ebute meta eastEbute Metta Yaba Lagos,2 beds 2 baths 3 Toilets,2,2,3,2 Bedroom flat,800000.0,,8CUTA,"Updated 15 Jan 2020, Added 25 Nov 2019",Serviced,"POP Ceiling
Security
Supermarket Nearby
Street Lights
Children Play Ground
Parking Space
Security doors
All Room Ensuit
Drainage System
Big Compound
2 Bedrooms
Serviced","Just now!!!
2bedroom flat at ebute meta East 3 toilet 2b 800k *1yr rent , g/floor, with prepaid metre & parking space, easy access to third mainland serious client only

Breakdown
Rent 800k
Legal fee 80k
Agency 160k
Service charge 100k
Total package 1,140,000"
9294,yaba,Queen streetAlagomeji Yaba Lagos,3 beds 3 baths 3 Toilets,3,3,3,4 Units of Brand New Extremely well finished 3 Bedroom Flats with 3 Toilets and 3 Bathrooms,2000000.0,,5CJYY,"Updated 15 Jan 2020, Added 08 Jul 2019",Newly Built,,
9295,yaba,Finbarrs road Akoka close to Unilag gateAkoka Yaba Lagos,beds baths Toilets,0,0,0,"M R S Filling Station at Finbarrs Road, By UNILAG Gate for Lease.... #10m for 5 years...",10000000.0,,0CHWQ,"Updated 15 Jan 2020, Added 20 Jun 2019",,,
9296,yaba,Off OluwadareFola Agoro Yaba Lagos,3 beds 3 baths 4 Toilets,3,3,4,"Spacious 3bedroom flat with 2rooms ensuite , 4t/3b, parking space, upstairs, gated, with security",1250000.0,,3CSHF,"Updated 15 Jan 2020, Added 17 Oct 2019",,"Security
Parking Space
Security doors
Drainage System
Big Compound
3 Bedroom","Spacious 3bedroom flat with 2rooms ensuite , 4t/3b, parking space, upstairs, gated, with security,

1,250,000 per annum

Note: its analogue metre"
9298,yaba,Akoka Yaba Lagos,3 beds 3 baths 3 Toilets,3,3,3,"3bedroom flat with 3t/3b, upstairs, prepaid metre, car park, serene neighborhood, in a block of 6flats in Akoka 1m per annum",1000000.0,,8CPCL,"Updated 15 Jan 2020, Added 04 Sep 2019",,,
9299,yaba,Adekunle Yaba Lagos,1 beds 1 baths 2 Toilets,1,1,2,"Just now!!! Miniflat on borno way adekunle, Yaba 500k one yr or 450kx2yrs option with car park",500000.0,,0CVZL,"Updated 15 Jan 2020, Added 17 Dec 2019",,,
